Carrier Code,Flight Number,Departure Airport,Arrival Airport,Scheduled Departure Date,Aircraft Type,Estimated FuelBurn(T),Estimated co2 (T)
XH,9779,LAS,SAN,1/31/2024,E7W,1.578,4.986
XH,8299,CDG,ABJ,1/17/2024,772,43.606,137.794
XH,8299,CDG,FLR,1/21/2024,319,3.093,9.771
XH,7927,LGA,YYZ,1/23/2024,CR9,2.239,7.076
XH,956,JFK,SEA,1/19/2024,32Q,14.304,45.202
XH,9979,ATL,MBJ,1/24/2024,73J,6.412,20.263
XH,9756,PDX,LAX,1/30/2024,319,4.845,15.309
XH,690,CLE,ATL,1/22/2024,320,3.837,12.125
XH,9796,ATL,JAN,1/29/2024,717,2.33,7.362
XH,905,PHX,ATL,1/31/2024,32B,9.688,30.615
XH,59,ZRH,JFK,1/22/2024,764,45.224,142.908
XH,2999,PHX,MSP,1/27/2024,32B,9.039,28.564
XH,2992,ATL,GNV,1/17/2024,717,1.935,6.115
XH,9805,SAP,ATL,1/19/2024,73H,7.138,22.555
XH,6870,LAX,YYC,1/26/2024,73W,7.291,23.041
XH,5990,GSO,DTW,1/17/2024,CR9,2.512,7.938
XH,9099,ATL,BDL,1/29/2024,73H,5.058,15.98
XH,6299,JPA,GRU,1/25/2024,32A,7.36,23.258
XH,875,SFO,ATL,1/21/2024,76W,21.312,67.346
XH,26,ICN,ATL,1/14/2024,359,62.947,198.912
XH,6762,MAD,LCG,1/17/2024,73H,2.581,8.158
XH,9059,DEN,CVG,1/31/2024,73H,5.603,17.707
XH,9579,STL,ATL,1/25/2024,73J,3.321,10.494
XH,9098,CLE,ATL,1/19/2024,320,3.843,12.143
XH,6969,GRU,SCL,1/16/2024,789,17.803,56.256
XH,728,LAX,LIH,1/19/2024,32Q,13.113,41.437
XH,8778,JFK,CDG,1/31/2024,77W,54.887,173.442
XH,829,ATL,ORF,1/19/2024,73J,3.254,10.285
XH,9079,SMF,SLC,1/29/2024,32B,4.251,13.432
XH,2999,ATL,HDN,1/22/2024,75W,10.572,33.409
XH,272,JFK,LIS,1/18/2024,764,29.241,92.402
XH,7979,AUS,CVG,1/21/2024,CR9,3.544,11.199
XH,9290,AMS,GOT,1/19/2024,73H,3.151,9.957
XH,979,GEG,ATL,1/13/2024,73H,9.109,28.786
XH,7988,BAQ,BOG,1/30/2024,320,3.028,9.568
XH,2528,SLC,BOS,1/22/2024,32Q,9.484,29.969
XH,2959,DCA,MCO,1/13/2024,320,6.013,19.001
XH,7989,YYZ,YYC,1/23/2024,7M8,8.379,26.477
XH,9666,FLL,DTW,1/23/2024,75T,9.938,31.403
XH,9998,AMS,GOA,1/27/2024,E7W,2.217,7.004
XH,2909,DTW,MSP,1/16/2024,73J,3.795,11.99
XH,9689,ATL,MOB,1/26/2024,CR9,1.705,5.387
XH,2279,HSV,ATL,1/17/2024,717,1.308,4.132
XH,9927,BOS,MSP,1/20/2024,319,6.156,19.452
XH,6869,OGG,HNL,1/28/2024,717,1.374,4.341
XH,2002,DEN,LAX,1/23/2024,319,5.074,16.035
XH,6228,CGB,GRU,1/24/2024,32B,5.905,18.66
XH,9596,NBO,AMS,1/24/2024,77W,69.453,219.471
XH,299,CPT,ATL,1/14/2024,359,78.123,246.87
XH,7998,EYW,ATL,1/24/2024,CR7,2.896,9.151
XH,699,MSP,RSW,1/27/2024,32B,10.288,32.511
XH,2806,SRQ,ATL,1/13/2024,752,4.582,14.479
XH,2896,MIA,ATL,1/28/2024,75W,5.383,17.01
XH,878,PDX,LAX,1/20/2024,319,4.523,14.294
XH,7056,ATL,ATW,1/21/2024,CR9,3.319,10.488
XH,2268,SAN,SEA,1/13/2024,73H,6.68,21.111
XH,9229,ATL,FLL,1/30/2024,75W,5.274,16.665
XH,5975,JFK,CLE,1/22/2024,CR9,2.458,7.766
XH,8997,TQO,MEX,1/25/2024,E90,4.022,12.711
XH,2968,ATL,IND,1/22/2024,73J,3.058,9.664
XH,9299,STL,ATL,1/27/2024,73J,3.378,10.673
XH,9706,ATL,CLT,1/28/2024,717,2.115,6.684
XH,9997,ATL,MBJ,1/29/2024,32B,7.015,22.168
XH,6027,BAQ,BOG,1/20/2024,32A,2.989,9.446
XH,5706,DCA,BOS,1/13/2024,E75,1.696,5.358
XH,9785,STL,ATL,1/17/2024,73J,3.326,10.509
XH,9790,LBA,AMS,1/29/2024,E90,1.892,5.977
XH,878,YVR,MSP,1/19/2024,319,6.923,21.877
XH,9929,LAX,PHX,1/25/2024,E7W,1.88,5.939
XH,9929,TPA,ATL,1/30/2024,75W,4.746,14.996
XH,2259,ATL,PHL,1/18/2024,32B,5.041,15.931
XH,2987,ATL,ORF,1/28/2024,73J,3.27,10.332
XH,2990,SNA,SLC,1/21/2024,221,2.464,7.787
XH,6297,GRU,AJU,1/16/2024,321,6.96,21.994
XH,6099,BPS,GRU,1/25/2024,32A,4.24,13.4
XH,9097,CLT,DTW,1/28/2024,717,3.057,9.661
XH,2277,DFW,SLC,1/17/2024,221,3.693,11.671
XH,9798,FCA,SLC,1/22/2024,E7W,2.452,7.747
XH,9979,GSO,ATL,1/14/2024,717,2.264,7.154
XH,7296,YYJ,YYC,1/28/2024,7M8,2.575,8.137
XH,9675,IAD,MSP,1/16/2024,E7W,3.917,12.378
XH,7567,NBO,TNR,1/21/2024,73H,7.693,24.308
XH,6989,LIM,BOG,1/31/2024,320,6.923,21.877
XH,899,MSP,SFO,1/31/2024,73J,9.655,30.508
XH,2679,BWI,ATL,1/25/2024,73J,4.333,13.694
XH,970,ICN,MSP,1/30/2024,359,58.459,184.73
XH,7997,ICN,BKK,1/16/2024,333,35.852,113.292
XH,9696,BUD,AMS,1/26/2024,73H,4.748,15.002
XH,7099,ATL,TRI,1/25/2024,CR9,1.116,3.526
XH,7987,IPC,SCL,1/23/2024,789,20.525,64.858
XH,9297,JAX,ATL,1/21/2024,73J,2.417,7.637
XH,2992,MSP,SAN,1/28/2024,32B,9.8,30.969
XH,9798,BLQ,AMS,1/23/2024,E90,3.814,12.051
XH,779,SEA,DTW,1/18/2024,73J,8.904,28.139
XH,2989,HOU,ATL,1/22/2024,717,3.425,10.824
XH,8299,CDG,FLR,1/13/2024,319,3.133,9.901
XH,9669,SLC,LAX,1/26/2024,73H,4.487,14.177
XH,9559,AMS,BSL,1/21/2024,E7W,1.507,4.763
XH,9267,BER,AMS,1/25/2024,73J,3.032,9.581
XH,6279,SLZ,GRU,1/14/2024,32Q,7.961,25.156
XH,6260,NVT,GRU,1/30/2024,320,2.476,7.826
XH,7567,NBO,TNR,1/26/2024,73H,8.09,25.566
XH,7907,ORD,JFK,1/30/2024,E7W,2.924,9.241
XH,7060,IND,MSP,1/15/2024,E7W,2.405,7.598
XH,9909,PHL,ATL,1/27/2024,32B,5.971,18.869
XH,2586,BOI,MSP,1/25/2024,73H,6.282,19.852
XH,2927,MSP,ATL,1/19/2024,73J,5.428,17.153
XH,9080,IAH,MSP,1/24/2024,221,3.145,9.94
XH,706,ATL,BZN,1/16/2024,32B,12.136,38.349
XH,997,ATL,PHX,1/30/2024,32B,11.294,35.688
XH,9655,JAN,ATL,1/21/2024,717,2.001,6.323
XH,9808,MSO,SLC,1/23/2024,E7W,2.293,7.247
XH,8289,CDG,DUS,1/24/2024,E90,1.938,6.123
XH,5225,GSO,ATL,1/13/2024,CR9,2.101,6.641
XH,5709,BOS,DCA,1/26/2024,E75,2.155,6.809
XH,6772,CGQ,PVG,1/21/2024,321,9.319,29.448
XH,2996,DFW,ATL,1/17/2024,320,4.282,13.533
XH,5599,BOS,MEM,1/14/2024,E75,4.76,15.043
XH,890,TPA,LAX,1/20/2024,32Q,11.242,35.525
XH,8660,CDG,VLC,1/29/2024,E90,3.643,11.512
XH,5679,BOS,DTW,1/25/2024,E75,2.98,9.418
XH,662,ATL,CMH,1/28/2024,73J,2.927,9.249
XH,5025,AVL,LGA,1/21/2024,CR9,2.579,8.148
XH,9650,AMS,NTE,1/25/2024,295,2.302,7.275
XH,2929,MSP,BWI,1/28/2024,717,4.49,14.189
XH,7866,TPE,ICN,1/25/2024,77W,17.533,55.403
XH,9622,AMS,IST,1/18/2024,73H,6.946,21.949
XH,6992,LIM,GIG,1/13/2024,32A,11.416,36.075
XH,9872,ATL,BQK,1/15/2024,CR9,1.303,4.119
XH,999,AUS,LAX,1/29/2024,73H,7.183,22.695
XH,9768,FAT,SLC,1/15/2024,E7W,2.069,6.54
XH,9686,DTW,DFW,1/13/2024,32B,8.44,26.669
XH,5027,ATL,TUL,1/26/2024,CR9,2.911,9.198
XH,977,ATL,DFW,1/20/2024,32B,6.538,20.661
XH,5999,ORF,LGA,1/31/2024,CR9,1.883,5.951
XH,5726,BOS,CMH,1/21/2024,E75,2.651,8.377
XH,9992,MIA,ATL,1/17/2024,73J,3.838,12.129
XH,6089,EZE,LIM,1/21/2024,32A,10.71,33.844
XH,796,ATL,SFO,1/19/2024,73J,12.9,40.764
XH,8600,CDG,FRA,1/24/2024,E90,2.155,6.809
XH,729,LGA,DFW,1/29/2024,223,5.155,16.289
XH,5922,TYS,DTW,1/23/2024,CR9,2.275,7.188
XH,559,PHX,ATL,1/22/2024,32B,9.604,30.349
XH,9687,LGA,SRQ,1/24/2024,223,4.113,12.998
XH,9796,SLC,MCO,1/20/2024,32Q,8.598,27.17
XH,2909,DTW,MSP,1/19/2024,73J,3.706,11.709
XH,7909,BJI,MSP,1/18/2024,CR7,1.136,3.591
XH,727,PDX,MSP,1/25/2024,73J,7.569,23.919
XH,975,ATL,LAS,1/29/2024,32B,12.218,38.608
XH,8798,TNR,CDG,1/15/2024,359,56.367,178.121
XH,2229,SEA,SNA,1/31/2024,221,3.638,11.495
XH,8987,TRN,CDG,1/29/2024,E90,2.424,7.662
XH,2578,JFK,MIA,1/15/2024,32B,9.999,31.596
XH,7996,BHM,LGA,1/26/2024,CR9,3.085,9.748
XH,2929,JAX,ATL,1/26/2024,73J,2.195,6.938
XH,9676,BUR,SLC,1/20/2024,E75,2.199,6.948
XH,697,ATL,YUL,1/17/2024,319,5.135,16.228
XH,7077,LGA,MKE,1/23/2024,E7W,3.425,10.823
XH,2026,RDU,ATL,1/24/2024,73J,2.867,9.06
XH,6765,TAO,PVG,1/30/2024,32N,2.791,8.821
XH,7989,MEX,SFO,1/26/2024,7M8,9.553,30.188
XH,9082,AUS,JFK,1/28/2024,73H,9.32,29.45
XH,7959,DTW,QRO,1/19/2024,E90,10.15,32.073
XH,9277,JAC,SLC,1/14/2024,319,1.959,6.189
XH,729,LGA,DFW,1/20/2024,221,5.702,18.017
XH,5957,XNA,ATL,1/27/2024,CR7,2.011,6.354
XH,2569,JFK,PBI,1/25/2024,73H,6.76,21.361
XH,5687,JFK,CMH,1/26/2024,E75,2.161,6.828
XH,7025,YYC,YYZ,1/19/2024,7M8,6.911,21.838
XH,9998,AMS,KGL,1/23/2024,332,49.26,155.662
XH,9997,ATL,AUS,1/13/2024,32B,7.006,22.139
XH,9599,TUL,ATL,1/22/2024,717,3.375,10.665
XH,880,VPS,ATL,1/24/2024,717,1.852,5.851
XH,6780,MAD,ORY,1/30/2024,73H,4.018,12.698
XH,6998,NAT,GRU,1/31/2024,320,7.897,24.956
XH,859,ANC,SEA,1/17/2024,73H,7.963,25.163
XH,2552,ATL,EWR,1/23/2024,717,3.803,12.018
XH,5989,LHR,IAD,1/21/2024,789,37.299,117.863
XH,7970,CME,MEX,1/18/2024,E90,2.994,9.463
XH,997,DTW,AMS,1/29/2024,333,43.423,137.215
XH,2888,LGA,BOS,1/22/2024,221,1.489,4.705
XH,797,LAX,MCO,1/29/2024,32Q,9.875,31.205
XH,577,SEA,IAD,1/30/2024,223,6.857,21.669
XH,9779,ATL,DAL,1/20/2024,717,4.034,12.748
XH,9977,AMS,LCY,1/26/2024,E90,1.654,5.225
XH,7989,VIX,GRU,1/31/2024,319,3.276,10.354
XH,9999,SJD,DTW,1/26/2024,73J,9.979,31.536
XH,7969,BAQ,BOG,1/26/2024,320,3.055,9.655
XH,2899,ECP,ATL,1/23/2024,73J,2.197,6.944
XH,8997,CDG,RVN,1/27/2024,32A,7.722,24.402
XH,2975,ATL,FLL,1/28/2024,75W,5.456,17.24
XH,9999,GRR,MSP,1/28/2024,717,2.464,7.786
XH,5957,LGA,SYR,1/24/2024,CR9,1.403,4.434
XH,9970,COS,SLC,1/29/2024,E7W,2.258,7.136
XH,9979,DTW,BUF,1/16/2024,717,2.116,6.685
XH,6990,YWG,YYC,1/18/2024,7M8,3.904,12.336
XH,2700,ATL,MYR,1/29/2024,717,1.872,5.915
XH,9070,FLL,MSP,1/29/2024,32B,10.929,34.534
XH,8069,HUX,MEX,1/17/2024,E90,2.091,6.61
XH,7279,YYC,YYZ,1/23/2024,73W,7.469,23.601
XH,9799,AMS,MUC,1/22/2024,73W,3.245,10.255
XH,9680,DTW,DFW,1/23/2024,32B,8.068,25.495
XH,2,LHR,JFK,1/25/2024,764,39.183,123.82
XH,679,SFO,JFK,1/25/2024,75W,17.001,53.723
XH,7788,TFS,AMS,1/21/2024,73H,10.833,34.235
XH,5672,BNA,DCA,1/22/2024,E75,2.055,6.494
XH,9889,MSP,CUN,1/17/2024,32B,11.837,37.404
XH,9879,SLC,TWF,1/31/2024,E7W,1.078,3.407
XH,2967,MKE,SLC,1/19/2024,319,7.55,23.858
XH,9767,BON,ATL,1/27/2024,73H,11.319,35.769
XH,5909,YYZ,JFK,1/24/2024,CR9,2.346,7.414
XH,9289,AMS,LCY,1/27/2024,E90,1.546,4.885
XH,9967,ATL,CUN,1/21/2024,75W,8.534,26.968
XH,9697,SNA,DTW,1/15/2024,75W,12.376,39.107
XH,9955,DTW,DFW,1/21/2024,320,5.992,18.935
XH,2697,DTW,ATL,1/14/2024,73J,4.27,13.494
XH,9997,AAL,AMS,1/25/2024,73W,3.061,9.672
XH,2727,DAY,ATL,1/26/2024,717,2.853,9.016
XH,9897,PVR,MSP,1/15/2024,73J,10.424,32.938
XH,2682,BNA,DTW,1/14/2024,717,2.716,8.582
XH,6077,GRU,SCL,1/30/2024,321,10.97,34.664
XH,2797,ATL,ECP,1/25/2024,73J,2.151,6.798
XH,9792,MSP,FAR,1/31/2024,738,2.046,6.467
XH,2750,ATL,MLB,1/23/2024,717,2.476,7.824
XH,7979,EUG,SEA,1/18/2024,E7W,1.461,4.617
XH,9997,SLP,MEX,1/30/2024,E90,1.57,4.963
XH,6807,HNL,KOA,1/20/2024,717,1.43,4.519
XH,7976,LIM,MIA,1/27/2024,76W,28.929,91.415
